accuracy,cohen_kappa,time,samples,samples_test,n_classes,subject,train_session,test_session,channels,n_sessions,dataset,architecture,seed,best_epoch,bundle_path,equivalence_max_abs_diff,pipeline
0.84375,0.7916666666666666,277.13901212695055,288,288,4,1,0train,1test,22,2,BNCI2014-001,paper,0,331,bundles/BNCI2014-001/paper/seed-0/subject-1,0.0,CTNet-paper
0.6736111111111112,0.5648148148148149,274.6135249659419,288,288,4,2,0train,1test,22,2,BNCI2014-001,paper,0,924,bundles/BNCI2014-001/paper/seed-0/subject-2,0.0,CTNet-paper
0.9270833333333334,0.9027777777777778,276.06968965614215,288,288,4,3,0train,1test,22,2,BNCI2014-001,paper,0,669,bundles/BNCI2014-001/paper/seed-0/subject-3,0.0,CTNet-paper
0.7395833333333334,0.6527777777777778,278.80142693500966,288,288,4,4,0train,1test,22,2,BNCI2014-001,paper,0,872,bundles/BNCI2014-001/paper/seed-0/subject-4,0.0,CTNet-paper
0.7083333333333334,0.6111111111111112,278.58980715996586,288,288,4,5,0train,1test,22,2,BNCI2014-001,paper,0,360,bundles/BNCI2014-001/paper/seed-0/subject-5,0.0,CTNet-paper
0.5798611111111112,0.4398148148148147,273.9089548771735,288,288,4,6,0train,1test,22,2,BNCI2014-001,paper,0,776,bundles/BNCI2014-001/paper/seed-0/subject-6,0.0,CTNet-paper
0.8506944444444444,0.8009259259259259,278.8130936380476,288,288,4,7,0train,1test,22,2,BNCI2014-001,paper,0,598,bundles/BNCI2014-001/paper/seed-0/subject-7,0.0,CTNet-paper
0.8263888888888888,0.7685185185185185,278.19795931503177,288,288,4,8,0train,1test,22,2,BNCI2014-001,paper,0,855,bundles/BNCI2014-001/paper/seed-0/subject-8,0.0,CTNet-paper
0.7986111111111112,0.7314814814814814,274.95438298000954,288,288,4,9,0train,1test,22,2,BNCI2014-001,paper,0,908,bundles/BNCI2014-001/paper/seed-0/subject-9,0.0,CTNet-paper
0.8333333333333334,0.7777777777777778,276.24156979005784,288,288,4,1,0train,1test,22,2,BNCI2014-001,paper,1,308,bundles/BNCI2014-001/paper/seed-1/subject-1,0.0,CTNet-paper
0.5243055555555556,0.3657407407407407,274.468321681954,288,288,4,2,0train,1test,22,2,BNCI2014-001,paper,1,57,bundles/BNCI2014-001/paper/seed-1/subject-2,0.0,CTNet-paper
0.9201388888888888,0.8935185185185185,275.94141701213084,288,288,4,3,0train,1test,22,2,BNCI2014-001,paper,1,801,bundles/BNCI2014-001/paper/seed-1/subject-3,0.0,CTNet-paper
0.7222222222222222,0.6296296296296297,279.3118913569488,288,288,4,4,0train,1test,22,2,BNCI2014-001,paper,1,873,bundles/BNCI2014-001/paper/seed-1/subject-4,0.0,CTNet-paper
0.7708333333333334,0.6944444444444444,279.2359636609908,288,288,4,5,0train,1test,22,2,BNCI2014-001,paper,1,545,bundles/BNCI2014-001/paper/seed-1/subject-5,0.0,CTNet-paper
0.5486111111111112,0.3981481481481481,274.2911149749998,288,288,4,6,0train,1test,22,2,BNCI2014-001,paper,1,89,bundles/BNCI2014-001/paper/seed-1/subject-6,0.0,CTNet-paper
0.8576388888888888,0.8101851851851851,278.8363526838366,288,288,4,7,0train,1test,22,2,BNCI2014-001,paper,1,513,bundles/BNCI2014-001/paper/seed-1/subject-7,0.0,CTNet-paper
0.8402777777777778,0.787037037037037,278.295893950155,288,288,4,8,0train,1test,22,2,BNCI2014-001,paper,1,997,bundles/BNCI2014-001/paper/seed-1/subject-8,0.0,CTNet-paper
0.7916666666666666,0.7222222222222222,275.36415156093426,288,288,4,9,0train,1test,22,2,BNCI2014-001,paper,1,894,bundles/BNCI2014-001/paper/seed-1/subject-9,0.0,CTNet-paper
0.8958333333333334,0.8611111111111112,279.0627323470544,288,288,4,1,0train,1test,22,2,BNCI2014-001,paper,2,973,bundles/BNCI2014-001/paper/seed-2/subject-1,0.0,CTNet-paper
0.6805555555555556,0.5740740740740741,274.0596413479652,288,288,4,2,0train,1test,22,2,BNCI2014-001,paper,2,943,bundles/BNCI2014-001/paper/seed-2/subject-2,0.0,CTNet-paper
0.9305555555555556,0.9074074074074074,268.8257655319758,288,288,4,3,0train,1test,22,2,BNCI2014-001,paper,2,945,bundles/BNCI2014-001/paper/seed-2/subject-3,0.0,CTNet-paper
0.7569444444444444,0.6759259259259259,268.58427158696577,288,288,4,4,0train,1test,22,2,BNCI2014-001,paper,2,990,bundles/BNCI2014-001/paper/seed-2/subject-4,0.0,CTNet-paper
0.7916666666666666,0.7222222222222222,231.3684597159736,288,288,4,5,0train,1test,22,2,BNCI2014-001,paper,2,849,bundles/BNCI2014-001/paper/seed-2/subject-5,0.0,CTNet-paper
0.5694444444444444,0.4259259259259259,278.78547181980684,288,288,4,6,0train,1test,22,2,BNCI2014-001,paper,2,273,bundles/BNCI2014-001/paper/seed-2/subject-6,0.0,CTNet-paper
0.875,0.8333333333333334,273.57639127084985,288,288,4,7,0train,1test,22,2,BNCI2014-001,paper,2,301,bundles/BNCI2014-001/paper/seed-2/subject-7,0.0,CTNet-paper
0.8333333333333334,0.7777777777777778,265.2870446939487,288,288,4,8,0train,1test,22,2,BNCI2014-001,paper,2,763,bundles/BNCI2014-001/paper/seed-2/subject-8,0.0,CTNet-paper
0.84375,0.7916666666666666,268.0124336560257,288,288,4,9,0train,1test,22,2,BNCI2014-001,paper,2,866,bundles/BNCI2014-001/paper/seed-2/subject-9,0.0,CTNet-paper
